caseid,abcnum,stcode,Q21,Q21NET,Q24,Q901,Q908A,Q921
327,41,45,3,2.00,2,3,3,1
331,36,39,4,2.00,2,2,3,1
333,39,42,4,2.00,2,2,3,2
334,39,42,4,2.00,2,1,3,1
339,39,42,3,2.00,1,3,3,1
343,43,47,3,2.00,2,1,2,1
344,50,55,1,1.00,1,3,2,2
348,19,22,1,1.00,1,1,2,1
350,50,55,4,2.00,2,2,3,1
351,19,22,2,1.00,1,1,2,1
352,14,17,2,1.00,2,2,2,2
353,14,17,4,2.00,2,2,3,2
354,4,05,2,1.00,2,3,2,2
355,19,22,2,1.00,2,3,2,2
356,43,47,3,2.00,1,1,2,1
359,19,22,3,2.00,1,3,2,2
361,14,17,1,1.00,1,1,3,1
362,4,05,3,2.00,1,1,1,2
363,44,48,3,2.00,4,3,3,1
365,44,48,3,2.00,1,1,3,1
366,14,17,2,1.00,1,1,2,1
367,44,48,3,2.00,1,4,4,2
369,19,22,3,2.00,2,3,3,1
370,44,48,8,8.00,2,2,2,2
372,25,28,4,2.00,2,2,3,1
373,14,17,3,2.00,2,2,3,1
374,43,47,2,1.00,2,2,3,2
375,44,48,3,2.00,3,2,2,1
376,4,05,2,1.00,1,3,8,1
378,14,17,1,1.00,4,2,3,1
383,19,22,3,2.00,2,2,3,1
384,14,17,3,2.00,1,1,2,1
385,50,55,1,1.00,1,1,3,1
387,44,48,3,2.00,2,2,3,1
389,50,55,3,2.00,2,2,3,2
390,19,22,2,1.00,2,2,3,1
391,14,17,4,2.00,2,2,3,1
392,14,17,2,1.00,8,1,3,1
393,50,55,3,2.00,2,3,3,1
394,25,28,4,2.00,2,3,3,1
395,14,17,2,1.00,2,2,3,1
396,35,38,2,1.00,4,2,2,1
397,43,47,1,1.00,1,1,2,2
398,14,17,2,1.00,2,2,2,1
399,25,28,1,1.00,2,2,3,1
401,50,55,2,1.00,1,1,1,1
403,44,48,2,1.00,1,1,1,2
404,14,17,3,2.00,1,1,2,2
405,14,17,2,1.00,2,2,3,2
406,43,47,4,2.00,1,3,2,2
409,44,48,4,2.00,2,2,3,1
410,50,55,2,1.00,1,3,2,1
411,25,28,2,1.00,1,1,2,2
414,25,28,4,2.00,2,2,3,2
418,4,05,3,2.00,4,3,2,1
420,44,48,3,2.00,2,2,3,1
421,44,48,3,2.00,2,2,2,1
422,25,28,1,1.00,2,3,2,1
424,44,48,3,2.00,2,2,3,2
425,43,47,3,2.00,2,2,2,2
426,44,48,4,2.00,2,2,3,1
427,44,48,2,1.00,2,2,2,1
428,14,17,3,2.00,2,2,2,2
430,44,48,8,8.00,3,3,2,1
432,14,17,3,2.00,2,2,2,1
434,48,53,3,2.00,4,3,2,2
435,48,53,2,1.00,2,2,3,1
436,6,08,4,2.00,2,2,3,1
437,5,06,1,1.00,1,3,1,1
438,5,06,1,1.00,1,1,1,1
439,29,32,2,1.00,1,3,1,2
440,14,17,2,1.00,2,3,2,1
442,3,04,3,2.00,1,1,2,2
443,6,08,1,1.00,4,3,2,2
444,32,35,2,1.00,1,1,2,2
445,14,17,4,2.00,2,2,3,1
446,45,49,1,1.00,1,1,1,2
447,25,28,3,2.00,2,3,2,1
448,6,08,1,1.00,1,1,2,2
449,45,49,3,2.00,2,2,3,2
450,6,08,2,1.00,4,3,2,2
453,14,17,3,2.00,1,1,1,2
454,32,35,3,2.00,2,2,3,1
455,3,04,1,1.00,2,3,3,1
456,6,08,1,1.00,2,2,3,1
457,45,49,3,2.00,2,2,3,1
458,6,08,3,2.00,1,1,2,1
460,50,55,1,1.00,1,3,2,2
462,50,55,2,1.00,2,2,1,1
464,50,55,2,1.00,2,3,3,1
465,5,06,1,1.00,4,4,1,2
466,14,17,8,8.00,4,3,2,1
467,48,53,1,1.00,1,1,1,2
468,5,06,3,2.00,2,2,3,1
469,5,06,3,2.00,2,2,3,1
470,48,53,2,1.00,4,3,2,2
471,48,53,1,1.00,1,1,1,2
472,5,06,4,2.00,1,1,1,2
473,5,06,1,1.00,1,1,2,1
474,48,53,1,1.00,1,1,1,2
475,32,35,1,1.00,1,1,2,2
476,29,32,1,1.00,2,2,2,2
477,5,06,2,1.00,1,1,1,2
478,48,53,1,1.00,1,3,2,2
479,5,06,2,1.00,2,2,3,1
480,5,06,3,2.00,1,3,3,2
482,5,06,3,2.00,2,3,2,2
483,5,06,3,2.00,2,3,1,1
484,29,32,2,1.00,1,2,1,1
485,5,06,1,1.00,1,3,2,2
486,5,06,2,1.00,2,3,3,1
488,5,06,2,1.00,1,1,1,2
489,48,53,2,1.00,1,3,2,2
491,5,06,1,1.00,1,3,2,2
492,3,04,3,2.00,1,3,2,1
493,32,35,4,2.00,2,2,3,1
494,29,32,2,1.00,2,2,1,2
495,5,06,3,2.00,4,1,3,2
496,5,06,1,1.00,1,1,2,2
497,5,06,3,2.00,2,3,3,2
498,5,06,4,2.00,2,2,2,2
499,5,06,3,2.00,2,3,3,1
500,5,06,1,1.00,2,2,2,2
502,5,06,2,1.00,1,3,2,1
503,5,06,2,1.00,1,3,1,1
504,48,53,3,2.00,2,2,3,1
505,6,08,3,2.00,1,1,2,1
506,29,32,1,1.00,8,3,3,1
507,5,06,3,2.00,4,2,1,1
508,5,06,2,1.00,2,2,3,2
509,5,06,1,1.00,1,4,1,1
510,48,53,1,1.00,2,2,2,2
511,5,06,2,1.00,2,2,3,1
512,5,06,1,1.00,1,2,2,1
513,5,06,2,1.00,4,3,1,1
514,5,06,2,1.00,2,3,3,1
515,5,06,2,1.00,2,2,3,1
516,29,32,4,2.00,1,3,2,2
